TEST,GRADES,CLASS_RANK,y,label
4.06,1.3,9.31,0,Not Admitted
5.68,8.86,6.51,0,Not Admitted
5.93,7.49,7.95,0,Not Admitted
9.22,3.96,2.91,1,Admitted
5.98,1.24,4.66,0,Not Admitted
7.78,2.95,3.55,0,Not Admitted
6.72,7.13,8.68,0,Not Admitted
1.46,5.71,9.67,0,Not Admitted
8.61,9.97,5.01,1,Admitted
4.84,3.55,2.03,0,Not Admitted
9.7,9.94,9.31,1,Admitted
5.47,4.35,1.31,1,Admitted
2.69,7.33,5.95,0,Not Admitted
5.21,8.23,8.26,0,Not Admitted
1.87,5.83,5.91,0,Not Admitted
2.16,5.96,3.75,0,Not Admitted
4.7,2.51,8.08,0,Not Admitted
6.6,6.07,7.7,0,Not Admitted
3.8,4.02,6.66,0,Not Admitted
4.62,3.4,4.36,0,Not Admitted
3.24,8.22,1.32,1,Admitted
1.23,9.28,2.23,1,Admitted
4.05,7.58,7.42,0,Not Admitted
5.63,4.43,4.43,0,Not Admitted
4.27,9.25,6.55,0,Not Admitted
6.92,7.92,7.82,0,Not Admitted
4.35,4.49,3.89,1,Admitted
9.96,6.86,6.02,1,Admitted
7.68,1.73,5.03,0,Not Admitted
6.67,3.08,4.02,0,Not Admitted
9.18,5.02,6.76,1,Admitted
2.35,7.4,1.66,1,Admitted
4.2,2.05,5.4,0,Not Admitted
1.19,8.52,3.82,0,Not Admitted
6.96,6.8,7.6,0,Not Admitted
5.67,2.59,2.28,1,Admitted
5.97,7.84,3.32,1,Admitted
5.69,2.65,7.95,0,Not Admitted
6.23,5.74,8.98,0,Not Admitted
6.92,2.33,6.91,0,Not Admitted
6.13,4.4,2.83,0,Not Admitted
6.31,4.9,3.47,0,Not Admitted
1.13,3.82,5.27,0,Not Admitted
7.76,8.48,2.76,1,Admitted
2.31,4.56,6.79,0,Not Admitted
8.17,6.68,3.59,1,Admitted
9.4,2.72,2.24,0,Not Admitted
7.68,3.39,9.58,0,Not Admitted
8.14,7.48,5.12,1,Admitted
8.56,6.4,4.03,1,Admitted
3.82,1.36,8.74,0,Not Admitted
8.47,6.21,4.79,1,Admitted
1.32,1.91,8.44,0,Not Admitted
1.42,9.69,2.17,0,Not Admitted
5.64,5.36,6.4,0,Not Admitted
5.63,4.39,7.42,0,Not Admitted
9.9,9.5,4.42,1,Admitted
2.94,9.07,3.85,1,Admitted
1.36,9.63,7.52,0,Not Admitted
6.45,7.07,4.78,1,Admitted
9.71,7.73,2.81,1,Admitted
8.86,1.87,5.09,0,Not Admitted
9.07,7.03,2.92,1,Admitted
8.35,1.87,8.8,0,Not Admitted
3.99,2.87,1.17,0,Not Admitted
7.88,7.81,3.21,1,Admitted
2.01,1.6,1.7,0,Not Admitted
3.16,2.72,5.12,0,Not Admitted
2.36,7.75,2.22,0,Not Admitted
1.27,6.18,8.34,0,Not Admitted
9.74,9.73,5.62,1,Admitted
3.23,5.86,4.51,0,Not Admitted
3.29,8.81,8.37,0,Not Admitted
2.81,5.12,6.98,0,Not Admitted
6.66,8.47,5.03,1,Admitted
5.59,2.18,4.88,0,Not Admitted
8.96,7.49,5.72,1,Admitted
8.86,9.29,7.75,1,Admitted
3.26,2.23,7.11,0,Not Admitted
6.38,2.68,3.4,1,Admitted
7.53,1.51,3.43,1,Admitted
8.34,2.49,2.28,1,Admitted
9.5,9.45,1.56,1,Admitted
8.92,7.87,3.64,1,Admitted
5.0,2.59,1.45,0,Not Admitted
6.13,7.99,3.22,1,Admitted
7.57,9.28,8.2,1,Admitted
5.2,2.2,8.6,0,Not Admitted
1.62,4.56,9.24,0,Not Admitted
2.66,7.62,4.63,0,Not Admitted
8.21,5.22,7.29,0,Not Admitted
6.63,8.94,6.34,1,Admitted
7.98,6.16,2.76,1,Admitted
9.14,8.59,7.15,1,Admitted
1.82,9.16,4.34,0,Not Admitted
7.45,9.47,6.47,1,Admitted
4.77,5.26,2.65,0,Not Admitted
1.34,5.88,3.31,0,Not Admitted
6.77,5.0,6.68,0,Not Admitted
4.87,8.12,9.91,0,Not Admitted
1.27,2.24,7.91,0,Not Admitted
4.33,1.73,7.1,0,Not Admitted
3.04,9.96,8.13,0,Not Admitted
6.74,4.34,8.45,0,Not Admitted
6.51,5.11,5.53,0,Not Admitted
4.7,6.66,1.29,1,Admitted
2.23,1.61,1.23,0,Not Admitted
2.73,3.23,6.22,0,Not Admitted
3.51,7.5,6.58,0,Not Admitted
8.18,9.39,5.22,1,Admitted
5.71,5.63,3.42,0,Not Admitted
1.05,6.95,7.75,0,Not Admitted
